day,mean,min,max,stddev,25%,50%,75%
1,6.246168604107917,1,94,7.71835474702658,2,3,7
4,4.562726268319603,1,55,5.1501826636740855,1,2,6
12,4.854623552041216,1,73,5.415424437646948,1,3,6
17,5.585783875851358,1,68,6.644852280295228,1,3,7
20,6.390509389014727,1,96,7.90918786258422,2,3,7





